order_id,order_date,product,category,region,channel,units,unit_price,cost,customer_id
100059,2024-01-07,Vacuum Cleaner,Home & Kitchen,West,Online,2,205.07,110.0,1992
100060,2024-01-07,Face Serum,Beauty,West,Online,2,44.99,18.0,1626
100061,2024-01-07,Lipstick Set,Beauty,West,Online,3,29.07,11.0,1596
100062,2024-01-07,4K Webcam,Electronics,North,Online,6,90.19,44.0,1393
100063,2024-01-07,Coffee Maker,Home & Kitchen,North,Retail,3,123.12,64.0,1421
100064,2024-01-07,4K Webcam,Electronics,Central,Marketplace,1,97.15,44.0,1677
100065,2024-01-08,Coffee Maker,Home & Kitchen,West,Retail,3,119.56,64.0,1512
100066,2024-01-08,Hair Dryer,Beauty,West,Online,5,72.58,33.0,1852
100067,2024-01-08,4K Webcam,Electronics,Central,Marketplace,5,87.94,44.0,1135
100068,2024-01-08,Winter Jacket,Apparel,North,Online,3,134.26,70.0,1825
100069,2024-01-08,Coffee Maker,Home & Kitchen,East,Marketplace,3,123.51,64.0,1572
100070,2024-01-08,4K Webcam,Electronics,North,Online,3,92.33,44.0,1610
100071,2024-01-08,Coffee Maker,Home & Kitchen,North,Online,2,124.16,64.0,2197
100072,2024-01-08,USB-C Charger,Electronics,West,Retail,7,26.08,9.0,1556
100073,2024-01-08,Yoga Mat,Sports,North,Online,2,32.47,14.0,1442
100074,2024-01-08,Yoga Mat,Sports,East,Marketplace,2,33.71,14.0,1514
100075,2024-01-09,Yoga Mat,Sports,North,Retail,4,32.96,14.0,1527
100076,2024-01-09,Yoga Mat,Sports,South,Online,3,37.2,14.0,1204
100077,2024-01-09,Yoga Mat,Sports,East,Online,1,36.94,14.0,1639
100078,2024-01-09,Cotton T-Shirt,Apparel,South,Online,2,21.69,7.0,2059
100079,2024-01-09,Running Shoes,Apparel,East,Marketplace,5,83.28,40.0,1661
100080,2024-01-09,Running Shoes,Apparel,West,Marketplace,3,93.66,40.0,2041
100081,2024-01-09,Winter Jacket,Apparel,North,Online,6,144.0,70.0,1273
100082,2024-01-09,Cotton T-Shirt,Apparel,East,Marketplace,3,19.8,7.0,1899
100083,2024-01-10,Cotton T-Shirt,Apparel,West,Online,3,22.92,7.0,2151
100084,2024-01-10,Lipstick Set,Beauty,Central,Marketplace,5,27.67,11.0,1733
100085,2024-01-10,Running Shoes,Apparel,East,Online,3,88.36,40.0,1199
100086,2024-01-10,Running Shoes,Apparel,North,Retail,5,83.92,40.0,1225
100087,2024-01-10,USB-C Charger,Electronics,East,Online,3,25.01,9.0,1047
100088,2024-01-10,4K Webcam,Electronics,North,Online,3,88.27,44.0,1098
100089,2024-01-10,4K Webcam,Electronics,East,Marketplace,4,91.76,44.0,1938
100090,2024-01-10,Smartphone Case,Electronics,West,Online,2,19.28,6.0,1613
100091,2024-01-10,4K Webcam,Electronics,North,Marketplace,1,88.62,44.0,1493
100092,2024-01-10,Running Shoes,Apparel,North,Online,2,89.79,40.0,2116
100093,2024-01-10,Cotton T-Shirt,Apparel,West,Online,4,21.79,7.0,2164
100094,2024-01-11,Yoga Mat,Sports,Central,Online,5,34.65,14.0,1056
100095,2024-01-11,4K Webcam,Electronics,West,Online,6,86.64,44.0,1885
100096,2024-01-11,Smartphone Case,Electronics,East,Online,3,18.39,6.0,1140
100097,2024-01-11,Coffee Maker,Home & Kitchen,North,Online,4,107.05,64.0,1993
100098,2024-01-11,Running Shoes,Apparel,South,Retail,4,95.17,40.0,2146
100099,2024-01-11,Vacuum Cleaner,Home & Kitchen,South,Retail,2,199.11,110.0,1421
100100,2024-01-11,Vacuum Cleaner,Home & Kitchen,West,Retail,4,186.18,110.0,1669
100101,2024-01-11,Running Shoes,Apparel,South,Online,5,94.17,40.0,2054
100102,2024-01-12,Water Bottle,Sports,East,Online,5,17.28,5.0,1684
100103,2024-01-12,Bluetooth Speaker,Electronics,East,Online,8,62.0,27.0,2133
100104,2024-01-12,4K Webcam,Electronics,West,Retail,2,88.44,44.0,1072
100105,2024-01-12,Vacuum Cleaner,Home & Kitchen,North,Marketplace,2,209.01,110.0,1308
100106,2024-01-12,Bluetooth Speaker,Electronics,East,Retail,3,66.55,27.0,1785
100107,2024-01-12,Coffee Maker,Home & Kitchen,East,Marketplace,2,121.62,64.0,2026
100108,2024-01-12,Yoga Mat,Sports,East,Online,1,34.29,14.0,1703
100109,2024-01-12,Lipstick Set,Beauty,North,Marketplace,4,26.85,11.0,1213
100110,2024-01-12,Bluetooth Speaker,Electronics,East,Marketplace,1,60.04,27.0,1882
100111,2024-01-12,Smartphone Case,Electronics,West,Online,4,19.94,6.0,1727
100112,2024-01-12,Denim Jeans,Apparel,North,Online,2,70.04,28.0,1039
100113,2024-01-12,Running Shoes,Apparel,East,Marketplace,1,88.51,40.0,1303
100114,2024-01-12,Winter Jacket,Apparel,West,Online,3,125.5,70.0,1772
100115,2024-01-12,4K Webcam,Electronics,East,Retail,3,87.38,44.0,1950
100116,2024-01-13,Smartphone Case,Electronics,South,Online,1,19.32,6.0,1556
100117,2024-01-13,Denim Jeans,Apparel,South,Online,4,64.46,28.0,1300
100118,2024-01-13,Air Fryer,Home & Kitchen,Central,Online,3,96.06,52.0,2039
100119,2024-01-13,Running Shoes,Apparel,Central,Retail,1,83.5,40.0,1518
100120,2024-01-13,4K Webcam,Electronics,West,Online,2,82.77,44.0,2163
100121,2024-01-13,Yoga Mat,Sports,East,Marketplace,4,36.66,14.0,1310
100122,2024-01-13,Running Shoes,Apparel,South,Online,2,86.42,40.0,1734
100123,2024-01-13,USB-C Charger,Electronics,West,Retail,3,26.63,9.0,1271
100124,2024-01-13,Yoga Mat,Sports,South,Retail,3,37.23,14.0,1578
100125,2024-01-13,Vacuum Cleaner,Home & Kitchen,South,Online,4,200.01,110.0,2012
100126,2024-01-14,Smartphone Case,Electronics,East,Online,4,18.27,6.0,2054
100127,2024-01-14,Running Shoes,Apparel,Central,Retail,2,93.98,40.0,1846
100128,2024-01-14,Cotton T-Shirt,Apparel,East,Marketplace,4,22.52,7.0,1479
100129,2024-01-14,4K Webcam,Electronics,East,Online,5,82.15,44.0,2072
100130,2024-01-14,Yoga Mat,Sports,Central,Online,3,37.76,14.0,1789
100131,2024-01-15,Yoga Mat,Sports,North,Online,3,35.64,14.0,1908
100132,2024-01-15,Air Fryer,Home & Kitchen,East,Retail,2,100.13,52.0,1402
100133,2024-01-15,Denim Jeans,Apparel,South,Marketplace,2,66.12,28.0,1969
100134,2024-01-15,Coffee Maker,Home & Kitchen,South,Online,6,124.2,64.0,1327
100135,2024-01-15,Water Bottle,Sports,South,Online,3,17.04,5.0,1925
100136,2024-01-15,Smartphone Case,Electronics,East,Online,4,19.24,6.0,1124
100137,2024-01-15,Yoga Mat,Sports,Central,Marketplace,3,35.79,14.0,1666
100138,2024-01-15,4K Webcam,Electronics,Central,Online,2,87.18,44.0,1993
100139,2024-01-15,4K Webcam,Electronics,West,Online,2,93.62,44.0,2011
100140,2024-01-15,Winter Jacket,Apparel,Central,Marketplace,2,141.99,70.0,1017
100141,2024-01-15,Denim Jeans,Apparel,South,Retail,3,67.82,28.0,1095
100142,2024-01-15,Water Bottle,Sports,North,Online,2,17.36,5.0,2160
100143,2024-01-15,4K Webcam,Electronics,North,Online,4,91.94,44.0,1477
100144,2024-01-15,Knife Set,Home & Kitchen,North,Online,3,48.22,21.0,1549
100145,2024-01-15,Yoga Mat,Sports,North,Online,5,35.2,14.0,1013
100146,2024-01-16,Air Fryer,Home & Kitchen,North,Retail,6,104.32,52.0,1077
100147,2024-01-16,Coffee Maker,Home & Kitchen,East,Online,5,124.64,64.0,1404
100148,2024-01-16,Water Bottle,Sports,South,Online,1,18.81,5.0,1879
100149,2024-01-16,Knife Set,Home & Kitchen,North,Retail,4,50.14,21.0,1978
100150,2024-01-16,4K Webcam,Electronics,South,Online,3,88.01,44.0,1636
100151,2024-01-16,Denim Jeans,Apparel,West,Online,3,65.07,28.0,1051
100152,2024-01-16,Vacuum Cleaner,Home & Kitchen,North,Online,4,200.19,110.0,1835
100153,2024-01-16,Coffee Maker,Home & Kitchen,Central,Retail,4,127.3,64.0,1521
100154,2024-01-16,Vacuum Cleaner,Home & Kitchen,North,Online,3,207.76,110.0,1123
100155,2024-01-16,Face Serum,Beauty,Central,Online,6,45.97,18.0,1534
100156,2024-01-17,Vacuum Cleaner,Home & Kitchen,East,Retail,3,205.47,110.0,1257
100157,2024-01-17,Bluetooth Speaker,Electronics,South,Marketplace,2,56.37,27.0,1477
100158,2024-01-17,Coffee Maker,Home & Kitchen,East,Online,3,119.31,64.0,1747
100159,2024-01-17,Running Shoes,Apparel,West,Online,4,88.15,40.0,1004
100160,2024-01-17,Bluetooth Speaker,Electronics,North,Retail,3,56.11,27.0,1717
100161,2024-01-17,Knife Set,Home & Kitchen,East,Retail,3,45.43,21.0,2055
100162,2024-01-17,Dumbbell Set,Sports,East,Online,2,78.5,41.0,1492
100163,2024-01-17,Denim Jeans,Apparel,South,Marketplace,2,63.8,28.0,1742
100164,2024-01-17,Face Serum,Beauty,North,Retail,3,45.95,18.0,1386
100165,2024-01-18,Water Bottle,Sports,South,Online,5,17.58,5.0,1925
100166,2024-01-18,Smartphone Case,Electronics,North,Online,4,18.04,6.0,1540
100167,2024-01-18,Winter Jacket,Apparel,Central,Online,7,135.34,70.0,1571
100168,2024-01-18,Vacuum Cleaner,Home & Kitchen,East,Retail,2,203.47,110.0,1626
100169,2024-01-18,Denim Jeans,Apparel,Central,Marketplace,3,63.53,28.0,1855
100170,2024-01-18,USB-C Charger,Electronics,East,Marketplace,5,25.1,9.0,1282
100171,2024-01-18,Running Shoes,Apparel,South,Online,4,85.91,40.0,2023
100172,2024-01-18,Knife Set,Home & Kitchen,North,Online,5,52.41,21.0,1344
100173,2024-01-18,4K Webcam,Electronics,North,Online,4,92.69,44.0,1494
100174,2024-01-18,Denim Jeans,Apparel,Central,Retail,5,65.94,28.0,1001
100175,2024-01-18,Hair Dryer,Beauty,Central,Online,3,66.73,33.0,1839
100176,2024-01-18,Winter Jacket,Apparel,South,Retail,6,133.67,70.0,1685
100177,2024-01-18,4K Webcam,Electronics,East,Retail,5,90.22,44.0,1680
100178,2024-01-19,Smartphone Case,Electronics,West,Retail,5,18.91,6.0,1201
100179,2024-01-19,Yoga Mat,Sports,East,Online,4,33.74,14.0,1583
100180,2024-01-19,Bluetooth Speaker,Electronics,South,Retail,3,60.24,27.0,1671
100181,2024-01-19,Denim Jeans,Apparel,South,Marketplace,2,64.9,28.0,1076
100182,2024-01-19,Denim Jeans,Apparel,South,Online,2,65.22,28.0,1968
100183,2024-01-19,Coffee Maker,Home & Kitchen,Central,Online,5,116.87,64.0,1972
100184,2024-01-19,Coffee Maker,Home & Kitchen,East,Online,4,130.07,64.0,1415
100185,2024-01-19,Lipstick Set,Beauty,North,Online,3,29.57,11.0,1130
100186,2024-01-19,Yoga Mat,Sports,East,Marketplace,3,35.37,14.0,1657
100187,2024-01-19,Coffee Maker,Home & Kitchen,South,Online,8,109.08,64.0,1205
100188,2024-01-20,Smartphone Case,Electronics,South,Online,2,18.9,6.0,1706
100189,2024-01-20,Hair Dryer,Beauty,Central,Retail,2,67.72,33.0,1092
100190,2024-01-20,Face Serum,Beauty,North,Online,2,45.96,18.0,2062
100191,2024-01-20,Winter Jacket,Apparel,East,Online,4,137.09,70.0,1433
100192,2024-01-20,Face Serum,Beauty,North,Retail,7,44.27,18.0,1929
100193,2024-01-20,Coffee Maker,Home & Kitchen,North,Online,4,116.67,64.0,2152
100194,2024-01-20,Bluetooth Speaker,Electronics,East,Online,6,60.23,27.0,1329
100195,2024-01-20,Coffee Maker,Home & Kitchen,East,Retail,2,114.08,64.0,2034
100196,2024-01-20,Yoga Mat,Sports,South,Online,2,34.15,14.0,1771
100197,2024-01-20,Water Bottle,Sports,Central,Online,3,17.74,5.0,1666
100198,2024-01-20,Bluetooth Speaker,Electronics,West,Retail,3,55.37,27.0,2188
100199,2024-01-20,Yoga Mat,Sports,South,Online,3,33.57,14.0,1171
100200,2024-01-20,4K Webcam,Electronics,East,Online,8,87.9,44.0,1232
100201,2024-01-20,Vacuum Cleaner,Home & Kitchen,West,Online,3,192.67,110.0,1361
100202,2024-01-21,4K Webcam,Electronics,North,Marketplace,3,86.58,44.0,1090
100203,2024-01-21,Cotton T-Shirt,Apparel,South,Online,2,21.13,7.0,2077
100204,2024-01-21,Denim Jeans,Apparel,Central,Online,1,60.96,28.0,1239
100205,2024-01-21,Cotton T-Shirt,Apparel,South,Online,3,21.24,7.0,1510
100206,2024-01-21,Face Serum,Beauty,North,Online,4,45.3,18.0,1858
100207,2024-01-21,Coffee Maker,Home & Kitchen,South,Marketplace,3,117.85,64.0,1467
100208,2024-01-21,4K Webcam,Electronics,North,Online,2,90.04,44.0,1318
100209,2024-01-21,Face Serum,Beauty,North,Online,7,45.61,18.0,1198
100210,2024-01-21,Vacuum Cleaner,Home & Kitchen,North,Online,2,197.69,110.0,1287
100211,2024-01-21,Running Shoes,Apparel,North,Retail,3,88.32,40.0,1509
100212,2024-01-21,Knife Set,Home & Kitchen,East,Online,4,51.71,21.0,1901
100213,2024-01-22,Coffee Maker,Home & Kitchen,West,Retail,2,116.54,64.0,1854
100214,2024-01-22,Face Serum,Beauty,Central,Marketplace,3,47.2,18.0,1624
100215,2024-01-22,Knife Set,Home & Kitchen,South,Online,2,47.9,21.0,1175
100216,2024-01-22,Yoga Mat,Sports,Central,Retail,3,34.54,14.0,1509
100217,2024-01-22,USB-C Charger,Electronics,West,Online,2,26.09,9.0,2032
100218,2024-01-22,Denim Jeans,Apparel,West,Online,6,66.42,28.0,2112
100219,2024-01-22,4K Webcam,Electronics,North,Online,2,94.78,44.0,2025
100220,2024-01-22,Winter Jacket,Apparel,East,Online,5,140.85,70.0,1632
100221,2024-01-22,Cotton T-Shirt,Apparel,West,Marketplace,1,20.33,7.0,1831
100222,2024-01-22,Knife Set,Home & Kitchen,Central,Online,3,48.53,21.0,2105
100223,2024-01-22,Wireless Earbuds,Electronics,North,Marketplace,3,73.4,38.0,2188
100224,2024-01-22,4K Webcam,Electronics,Central,Online,2,91.86,44.0,1704
100225,2024-01-23,4K Webcam,Electronics,South,Online,7,89.58,44.0,1630
100226,2024-01-23,Running Shoes,Apparel,North,Retail,7,85.49,40.0,1468
100227,2024-01-23,Vacuum Cleaner,Home & Kitchen,Central,Marketplace,3,189.69,110.0,1263
100228,2024-01-23,Coffee Maker,Home & Kitchen,East,Marketplace,3,123.13,64.0,1889
100229,2024-01-23,Coffee Maker,Home & Kitchen,West,Retail,1,125.21,64.0,2011
100230,2024-01-23,Wireless Earbuds,Electronics,South,Online,2,80.72,38.0,2106
100231,2024-01-23,Water Bottle,Sports,North,Retail,2,17.68,5.0,1136
100232,2024-01-24,Running Shoes,Apparel,East,Retail,3,80.7,40.0,1169
100233,2024-01-24,Face Serum,Beauty,North,Online,4,45.12,18.0,1664
100234,2024-01-24,Coffee Maker,Home & Kitchen,North,Online,2,113.13,64.0,1062
100235,2024-01-24,Bluetooth Speaker,Electronics,East,Marketplace,2,56.38,27.0,1207
100236,2024-01-24,Coffee Maker,Home & Kitchen,North,Online,2,121.95,64.0,1875
100237,2024-01-24,Coffee Maker,Home & Kitchen,East,Retail,5,122.92,64.0,2113
100238,2024-01-24,Face Serum,Beauty,East,Online,2,46.29,18.0,1487
100239,2024-01-24,Denim Jeans,Apparel,West,Retail,5,61.9,28.0,2093
100240,2024-01-24,Yoga Mat,Sports,South,Marketplace,4,36.37,14.0,1759
100241,2024-01-24,USB-C Charger,Electronics,West,Online,5,24.79,9.0,1955
100242,2024-01-24,Bluetooth Speaker,Electronics,North,Retail,3,59.49,27.0,1920
100243,2024-01-24,Cotton T-Shirt,Apparel,South,Online,6,22.77,7.0,1092
100244,2024-01-25,Yoga Mat,Sports,West,Online,5,38.03,14.0,2090
100245,2024-01-25,Yoga Mat,Sports,North,Online,2,35.33,14.0,1928
100246,2024-01-25,4K Webcam,Electronics,South,Marketplace,1,90.81,44.0,1365
100247,2024-01-25,Bluetooth Speaker,Electronics,East,Marketplace,3,59.14,27.0,2015
100248,2024-01-25,Coffee Maker,Home & Kitchen,Central,Marketplace,4,117.3,64.0,1230
100249,2024-01-25,Yoga Mat,Sports,North,Online,2,34.78,14.0,2013
100250,2024-01-25,Yoga Mat,Sports,North,Marketplace,2,35.47,14.0,2141
100251,2024-01-25,4K Webcam,Electronics,North,Retail,3,83.4,44.0,1542
100252,2024-01-25,Coffee Maker,Home & Kitchen,North,Online,1,118.04,64.0,2178
100253,2024-01-25,Knife Set,Home & Kitchen,East,Retail,3,46.86,21.0,2043
100254,2024-01-25,Yoga Mat,Sports,East,Online,5,33.02,14.0,1604
100255,2024-01-25,Running Shoes,Apparel,East,Retail,3,92.44,40.0,1189
100256,2024-01-25,USB-C Charger,Electronics,West,Online,2,25.26,9.0,1733
100257,2024-01-25,Water Bottle,Sports,West,Online,3,18.02,5.0,1818
100258,2024-01-25,Coffee Maker,Home & Kitchen,North,Marketplace,6,118.41,64.0,1757
100259,2024-01-26,Face Serum,Beauty,East,Online,3,46.03,18.0,1528
100260,2024-01-26,Running Shoes,Apparel,West,Retail,3,92.9,40.0,1331
100261,2024-01-26,Lipstick Set,Beauty,North,Marketplace,2,28.21,11.0,1189
100262,2024-01-26,Smartphone Case,Electronics,South,Retail,1,19.72,6.0,1898
100263,2024-01-26,Vacuum Cleaner,Home & Kitchen,West,Online,6,202.13,110.0,1371
100264,2024-01-26,Bluetooth Speaker,Electronics,North,Online,2,56.59,27.0,1390
100265,2024-01-26,Winter Jacket,Apparel,Central,Retail,3,143.77,70.0,1378
100266,2024-01-26,Lipstick Set,Beauty,Central,Online,4,29.44,11.0,2115
100267,2024-01-26,Smartphone Case,Electronics,North,Online,3,17.96,6.0,1009
100268,2024-01-26,USB-C Charger,Electronics,North,Online,4,24.69,9.0,1845
100269,2024-01-27,4K Webcam,Electronics,South,Online,2,95.16,44.0,2082
100270,2024-01-27,Coffee Maker,Home & Kitchen,South,Online,4,122.19,64.0,2048
100271,2024-01-27,Denim Jeans,Apparel,West,Online,2,63.54,28.0,1592
100272,2024-01-27,Smartphone Case,Electronics,West,Marketplace,3,18.81,6.0,1285
100273,2024-01-27,Cotton T-Shirt,Apparel,East,Marketplace,3,20.61,7.0,1002
100274,2024-01-27,4K Webcam,Electronics,West,Online,3,89.97,44.0,1857
100275,2024-01-27,Lipstick Set,Beauty,Central,Online,3,28.69,11.0,2162
100276,2024-01-28,Bluetooth Speaker,Electronics,North,Marketplace,4,59.41,27.0,1262
100277,2024-01-28,Face Serum,Beauty,West,Online,2,44.62,18.0,1686
100278,2024-01-28,Coffee Maker,Home & Kitchen,West,Online,6,120.56,64.0,1252
100279,2024-01-28,Running Shoes,Apparel,South,Marketplace,5,83.51,40.0,1692
100280,2024-01-28,4K Webcam,Electronics,North,Online,4,97.23,44.0,1096
100281,2024-01-28,Coffee Maker,Home & Kitchen,Central,Online,3,122.35,64.0,2013
100282,2024-01-28,Yoga Mat,Sports,South,Marketplace,3,37.88,14.0,1966
100283,2024-01-28,Yoga Mat,Sports,West,Retail,4,35.37,14.0,1473
100284,2024-01-28,Lipstick Set,Beauty,North,Online,1,30.51,11.0,1330
100285,2024-01-28,Running Shoes,Apparel,South,Retail,5,86.83,40.0,1803
100286,2024-01-28,Yoga Mat,Sports,West,Online,1,34.31,14.0,1471
100287,2024-01-29,Vacuum Cleaner,Home & Kitchen,North,Online,7,194.96,110.0,1868
100288,2024-01-29,Yoga Mat,Sports,South,Online,2,37.01,14.0,1479
100289,2024-01-29,Denim Jeans,Apparel,South,Retail,3,62.57,28.0,1799
100290,2024-01-29,4K Webcam,Electronics,Central,Retail,4,90.68,44.0,2166
100291,2024-01-29,Running Shoes,Apparel,South,Online,2,88.13,40.0,1984
100292,2024-01-29,Yoga Mat,Sports,South,Retail,2,35.69,14.0,1559
100293,2024-01-29,Yoga Mat,Sports,Central,Marketplace,2,34.23,14.0,2093
100294,2024-01-29,Denim Jeans,Apparel,East,Online,3,64.26,28.0,1025
100295,2024-01-29,4K Webcam,Electronics,East,Online,2,84.03,44.0,1013
100296,2024-01-29,4K Webcam,Electronics,East,Retail,4,89.87,44.0,1414
100297,2024-01-29,Vacuum Cleaner,Home & Kitchen,South,Marketplace,2,199.77,110.0,1664
100298,2024-01-30,4K Webcam,Electronics,North,Online,2,90.69,44.0,1962
100299,2024-01-30,Water Bottle,Sports,West,Online,5,19.01,5.0,2067
100300,2024-01-30,Cotton T-Shirt,Apparel,South,Marketplace,5,22.31,7.0,1112
100301,2024-01-30,4K Webcam,Electronics,North,Retail,3,90.47,44.0,1964
100302,2024-01-30,4K Webcam,Electronics,Central,Marketplace,6,93.29,44.0,1892
100303,2024-01-30,Face Serum,Beauty,South,Online,2,43.14,18.0,1115
100304,2024-01-30,4K Webcam,Electronics,West,Marketplace,5,88.08,44.0,1143
100305,2024-01-30,4K Webcam,Electronics,South,Online,1,86.93,44.0,1377
100306,2024-01-31,4K Webcam,Electronics,Central,Marketplace,3,90.47,44.0,1185
100307,2024-01-31,Yoga Mat,Sports,South,Online,2,35.66,14.0,1994
100308,2024-01-31,Face Serum,Beauty,West,Online,1,45.94,18.0,1701
100309,2024-01-31,Cotton T-Shirt,Apparel,North,Online,5,22.67,7.0,1126
100310,2024-01-31,Coffee Maker,Home & Kitchen,North,Marketplace,3,121.76,64.0,1083
100311,2024-01-31,Running Shoes,Apparel,West,Online,3,86.12,40.0,1877
100312,2024-01-31,Lipstick Set,Beauty,West,Online,4,29.0,11.0,1841
100313,2024-01-31,4K Webcam,Electronics,South,Online,2,89.32,44.0,1287
100314,2024-02-01,Winter Jacket,Apparel,North,Online,3,146.27,70.0,1215
100315,2024-02-01,USB-C Charger,Electronics,South,Retail,4,24.54,9.0,1700
100316,2024-02-01,Smartphone Case,Electronics,East,Online,2,18.44,6.0,2002
100317,2024-02-01,Coffee Maker,Home & Kitchen,West,Retail,2,121.59,64.0,2134
100318,2024-02-01,Smartphone Case,Electronics,West,Online,2,18.95,6.0,1641
100319,2024-02-01,Hair Dryer,Beauty,West,Online,3,67.75,33.0,1991
100320,2024-02-01,Lipstick Set,Beauty,West,Online,3,27.96,11.0,1793
100321,2024-02-01,Vacuum Cleaner,Home & Kitchen,South,Marketplace,5,182.09,110.0,1664
100322,2024-02-02,Winter Jacket,Apparel,West,Online,3,132.1,70.0,1282
100323,2024-02-02,Hair Dryer,Beauty,South,Online,2,72.45,33.0,1101
100324,2024-02-02,Denim Jeans,Apparel,North,Online,4,65.37,28.0,1836
100325,2024-02-02,Running Shoes,Apparel,West,Retail,2,88.34,40.0,2192
